,etoiles,n_avis,date_avis,date_experience,Société,text_total,text_clean_sentences_neg,text_clean_sentences_pos,text_stop,text_clean_sentences_neg_stop,text_clean_sentences_pos_stop
33972,5,1.0,2022-08-12 08:06:43+00:00,2022-07-13,Cofidis,"""Après plusieurs rejets de demandes…. Après plusieurs rejets de demandes auprès d’autres organismes sans raison valable, nous sommes tombés sur cofidis qui nous a donné la chance de réaliser notre projet de terrasse. Merci encore.""",Après plusieurs rejets de demandes,Après plusieurs rejets de demandes auprès d’ autres organismes sans raison valable nous sommes tombés sur cofidis qui nous a donné la chance de réaliser notre projet de terrasse. Merci encore,"""Après rejets demandes … . Après rejets demandes auprès organismes raison valable , sommes tombés cofidis donné chance réaliser projet terrasse . Merci .""",Après rejets demandes,Après rejets demandes auprès d ’ organismes raison valable sommes tombés cofidis donné chance réaliser projet terrasse . Merci
9685,1,1.0,2023-04-26 14:07:29+00:00,2023-04-26,Floabank,"""Horrible. Horrible. J’aimerais bien voir sur quoi vous vous basé pour accepter ou non les demandes d’emprunts. Je fais une demande de 2500 euros remboursable sur 1 an et celui-ci est refusé tandis que je gagne plus de 1800 euros net avec 500 euros de dépenses par mois. Lorsque je demande la raison du refus on me dit que c’est confidentiel. Je n’ai jamais eu de problème de paiement avec FLOA ou Cdiscount. Ne serait-ce pas le lieu de naissance le vrai problème ?? Et votre conseillère là, la fameuse Hiba qui écourte la conversation alors que je n’ai pas terminé ma demande. Pfff vraiment n’importe quoi, merci de supprimer mon compte (FLOA ou encore Cdiscount). Bonne journée.""",Je fais une demande de 2500 euros remboursable sur 1 an et celui-ci est refusé tandis que je gagne plus de 1800 euros net avec 500 euros de dépenses par mois. Lorsque je demande la raison du refus on me dit que c’ est confidentiel. Je n’ ai jamais eu de problème de paiement avec FLOA ou Cdiscount. Ne serait -ce pas le lieu de naissance le vrai problème. Et votre conseillère là la fameuse Hiba qui écourte la conversation alors que je n’ ai pas terminé ma demande. Pfff vraiment n’ importe quoi merci de supprimer mon compte FLOA ou encore Cdiscount,J’ aimerais bien voir sur quoi vous vous basé pour accepter ou non les demandes d’ emprunts. Bonne journée,"""Horrible . Horrible . J’ aimerais bien voir basé accepter non demandes emprunts . Je demande 2500 euros remboursable 1 an refusé tandis gagne 1800 euros net 500 euros dépenses mois . Lorsque demande raison refus confidentiel . Je jamais problème paiement FLOA Cdiscount . Ne -ce lieu naissance vrai problème ? ? Et conseillère , fameuse Hiba écourte conversation terminé demande . Pfff vraiment , supprimer compte ( FLOA Cdiscount ) . Bonne journée .""",Je demande 2500 euros remboursable 1 an refusé tandis gagne 1800 euros net 500 euros dépenses mois . Lorsque demande raison refus c ’ confidentiel . Je n ’ jamais problème paiement FLOA Cdiscount . Ne -ce lieu naissance vrai problème . Et conseillère fameuse Hiba écourte conversation n ’ terminé demande . Pfff vraiment n ’ supprimer compte FLOA Cdiscount,J ’ aimerais bien voir basé accepter non demandes d ’ emprunts . Bonne journée
56668,5,1.0,2022-08-29 09:46:25+00:00,2022-08-29,Immoprt,"""Très bonne relation de confiance. Très bonne relation de confiance, à l'écoute, notre courtière a été très performante afin que nous puissions réaliser notre projet immobilier. Un grand merci à Mme Deschamps pour son professionnalisme""",,Très bonne relation de confiance. Très bonne relation de confiance à l' écoute notre courtière a été très performante afin que nous puissions réaliser notre projet immobilier. Un grand merci à Mme Deschamps pour son professionnalisme,"""Très bonne relation confiance . Très bonne relation confiance , écoute , courtière été performante puissions réaliser projet immobilier . Un grand Mme Deschamps professionnalisme""",,Très bonne relation confiance . Très bonne relation confiance l ' écoute courtière été performante puissions réaliser projet immobilier . Un grand Mme Deschamps professionnalisme
16143,1,1.0,2023-10-18 17:02:01+00:00,2023-10-18,Floabank,Pas moyen d'avoir les identifiants de…. Pas moyen d'avoir les identifiants de connexion rien ne fonctionne malgré tout les essais le service client n'est pas capable de me fournir les bon Identifiant,Pas moyen d' avoir les identifiants de. Pas moyen d' avoir les identifiants de connexion rien ne fonctionne malgré tout les essais le service client n' est pas capable de me fournir les bon Identifiant,,Pas moyen identifiants … . Pas moyen identifiants connexion rien fonctionne essais service client capable fournir bon Identifiant,Pas moyen d ' identifiants . Pas moyen d ' identifiants connexion rien fonctionne essais service client n ' capable fournir bon Identifiant,
55340,5,2.0,2021-12-17 11:09:11+00:00,2021-12-17,MaFrenchBank,J'aime bien votre carte parce que ça ça…. J'aime bien votre carte parce que ça ça me fait tout,,J' aime bien votre carte parce que ça ça. J' aime bien votre carte parce que ça ça me fait tout,J' aime bien carte … . J' aime bien carte,,J ' aime bien carte . J ' aime bien carte
75018,5,10.0,2023-10-07 01:04:40+00:00,2023-10-06,Kard,Réactivité immédiate. Réactivité immédiate J’adoreMa fille sera très contente elle aussi,elle aussi,Réactivité immédiate. Réactivité immédiate. J’ adoreMa fille sera très contente,Réactivité immédiate . Réactivité immédiate J’ adoreMa fille contente,,Réactivité immédiate . Réactivité immédiate . J ’ adoreMa fille contente
98969,5,1.0,2022-03-10 17:51:24+00:00,2022-03-10,OrangeBank,C'est simple et rapide.. na,,C' est simple et rapide,C' simple rapide ..,,C ' simple rapide
19794,5,1.0,2023-02-28 05:23:17+00:00,2023-02-27,Fortuneo,Banque sans mauvaise surprise.. Banque sans mauvaise surprise.Application bien faite.Carte virtuelle pratique pour les paiements en ligne.,Banque sans mauvaise surprise. Banque sans mauvaise surprise,Application bien faite. Carte virtuelle. pratique pour les paiements en ligne,Banque mauvaise surprise .. Banque mauvaise surprise . Application bien faite . Carte virtuelle pratique paiements ligne .,Banque mauvaise surprise . Banque mauvaise surprise,Application bien faite . Carte virtuelle . pratique paiements ligne
7248,5,1.0,2023-04-25 01:12:40+00:00,2023-04-24,CarrefourBanque&Assurance,"""Le conseiller a été très accueillant. Le conseiller a été très accueillant, professionnel et à répondu à toutes mes questions. J'ai beaucoup apprécié le fait qu'il reprenne contact avec moi.""",,Le conseiller a été très accueillant. Le conseiller a été très accueillant professionnel et à répondu à toutes mes questions. J' ai beaucoup apprécié le fait qu' il reprenne contact avec moi,"""Le conseiller été accueillant . Le conseiller été accueillant , professionnel répondu questions . J' beaucoup apprécié reprenne contact .""",,Le conseiller été accueillant . Le conseiller été accueillant professionnel répondu questions . J ' beaucoup apprécié qu ' reprenne contact
18588,2,1.0,2023-05-04 17:22:39+00:00,2023-04-16,Fortuneo,Le temps d'attente avant de pouvoir…. Le temps d'attente avant de pouvoir parler avec un conseiller est beaucoup trop long (annoncé 10 minutes attente 30) pour à la fin m'entendre diure que je dois rappeler à un autre moment,Le temps d' attente avant de pouvoir. Le temps d' attente avant de pouvoir parler avec un conseiller est beaucoup trop long annoncé 10 minutes attente 30 pour à la fin m' entendre diure que je dois rappeler à un autre moment,,Le temps attente pouvoir … . Le temps attente pouvoir conseiller beaucoup trop long ( annoncé 10 minutes attente 30 ) fin entendre diure dois rappeler moment,Le temps d ' attente pouvoir . Le temps d ' attente pouvoir conseiller beaucoup trop long annoncé 10 minutes attente 30 fin m ' entendre diure dois rappeler moment,
89372,5,6.0,2023-08-28 12:35:51+00:00,2023-08-08,OrangeBank,Super service et très pratique.. na,,Super service et très pratique,Super service pratique ..,,Super service pratique
92058,5,1.0,2022-10-21 21:54:32+00:00,2022-10-21,OrangeBank,"""Expérience virtuelle de résolution de problème. Beaucoup de difficultés à entrer en contact avec l expert du tchat, mais une fois le lien établi la réponse et la solution apportées à mon problème ont été rapides.""",,Expérience virtuelle de résolution de problème. Beaucoup de difficultés à entrer en contact avec l expert du tchat mais une fois le lien établi la réponse et la solution apportées à mon problème ont été rapides,"""Expérience virtuelle résolution problème . Beaucoup difficultés entrer contact l expert tchat , fois lien établi réponse solution apportées problème été rapides .""",,Expérience virtuelle résolution problème . Beaucoup difficultés entrer contact l expert tchat fois lien établi réponse solution apportées problème été rapides
9766,5,2.0,2023-04-13 17:26:26+00:00,2023-04-13,Floabank,"""Parfaite par WhatsApp,+ compliquée sur…. Parfaite par WhatsApp,+ compliquée sur le site,sinon très bonne relation client""",,"""Parfaite par WhatsApp,+ compliquée sur. Parfaite par WhatsApp,+ compliquée sur le site sinon très bonne relation client""","""Parfaite WhatsApp,+ compliquée … . Parfaite WhatsApp,+ compliquée site , bonne relation client""",,"""Parfaite WhatsApp,+ compliquée . Parfaite WhatsApp,+ compliquée site bonne relation client"""
23174,5,1.0,2022-11-29 18:25:17+00:00,2022-11-29,Anytime,Bonne communication et précise par son…. Bonne communication et précise par son implication professionnelle,,Bonne communication et précise par son. Bonne communication et précise par son implication professionnelle,Bonne communication précise … . Bonne communication précise implication professionnelle,,Bonne communication précise . Bonne communication précise implication professionnelle
89564,5,3.0,2023-07-03 19:21:34+00:00,2023-07-03,OrangeBank,Parfait.... Rapidité et efficacité de l'interlocutrice.,,Rapidité et efficacité de l' interlocutrice,Parfait .... Rapidité efficacité interlocutrice .,,Rapidité efficacité l ' interlocutrice
11791,5,1.0,2022-10-21 10:08:21+00:00,2022-10-21,Floabank,demande de renseignement par tchat. demande de renseignement par tchatparfait explication claire et rapide,,demande de renseignement par tchat. demande de renseignement par tchatparfait explication claire et rapide,demande renseignement tchat . demande renseignement tchatparfait explication claire rapide,,demande renseignement tchat . demande renseignement tchatparfait explication claire rapide
40553,5,9.0,2021-09-14 14:35:56+00:00,2021-09-14,Cofidis,ste tres serieuse personnel tres …. ste tres serieuse personnel tres  sympas et pro tres rapide je recommande vivement encore milles merci,,ste tres serieuse personnel. ste tres serieuse personnel tres   sympas et pro tres rapide je recommande vivement encore milles merci,ste serieuse personnel … . ste serieuse personnel   sympas pro rapide recommande vivement milles,,ste serieuse personnel . ste serieuse personnel    sympas pro rapide recommande vivement milles
69117,5,2.0,2023-07-11 22:06:49+00:00,2023-07-11,Monabanq,Depuis que je suis à Monabanq pas de…. Depuis que je suis à Monabanq pas de problème. Toujours disponible au téléphone !,Depuis que je suis à Monabanq pas de,Depuis que je suis à Monabanq pas de problème. Toujours disponible au téléphone,Depuis Monabanq … . Depuis Monabanq problème . Toujours disponible téléphone !,Depuis Monabanq,Depuis Monabanq problème . Toujours disponible téléphone
70180,5,3.0,2022-11-02 15:43:26+00:00,2022-08-12,Monabanq,"""Une banque à l'écoute de des clients. Une banque à l'écoute de des clients, chaque fois que j'appelle, j'ai l'impression une importante cliente 😁""",,Une banque à l' écoute de des clients. Une banque à l' écoute de des clients chaque fois que j' appelle j' ai l' impression une importante cliente 😁,"""Une banque écoute clients . Une banque écoute clients , fois appelle , impression importante cliente 😁""",,Une banque l ' écoute clients . Une banque l ' écoute clients fois j ' appelle j ' l ' impression importante cliente 😁
45357,5,1.0,2021-02-04 12:26:48+00:00,2021-02-04,Cofidis,Rapidité dans le traitement de mon…. Rapidité dans le traitement de mon dossier ainsi que dans la réponse apportée à ma demande.Un grand Merci à l’équipe commerciale.,,Rapidité dans le traitement de mon. Rapidité dans le traitement de mon dossier ainsi que dans la réponse apportée à ma demande. Un grand Merci à l’ équipe commerciale,Rapidité traitement … . Rapidité traitement dossier réponse apportée demande . Un grand Merci équipe commerciale .,,Rapidité traitement . Rapidité traitement dossier réponse apportée demande . Un grand Merci l ’ équipe commerciale
28639,5,1.0,2023-10-04 10:51:04+00:00,2023-10-04,Anytime,AVIS POSITIF. J'ai eu au telephone zoe qui a été d'une grande aide Je souligne son professionnalisme et sa courtoisie,AVIS POSITIF,J' ai eu au telephone zoe qui a été d' une grande aide Je souligne son professionnalisme et sa courtoisie,AVIS POSITIF . J' telephone zoe été grande aide Je souligne professionnalisme courtoisie,AVIS POSITIF,J ' telephone zoe été d ' grande aide Je souligne professionnalisme courtoisie
78677,1,13.0,2018-10-11 08:50:06+00:00,2018-10-11,LaBanquePostale,Je suis cliente à lbp depuis 1962.... Je suis cliente à lbp depuis 1962...Suite à des problèmes financiers temporaires j'ai eu 2 chèques impayés et lbp a fermé mon compte sans me prévenir du tout !!!!Tous mes prélèvements ont été rejetés !!!!! Etc etc etc.... Merci lbp pour la considération envers ses clients fidèles !!!!!!,Je suis cliente à lbp depuis 1962 Suite à des problèmes financiers temporaires j' ai eu 2 chèques impayés et lbp a fermé mon compte sans me prévenir du tout. Tous mes prélèvements ont été rejetés. etc etc,Je suis cliente à lbp depuis 1962. Merci lbp pour la considération envers ses clients fidèles,Je cliente lbp 1962 .... Je cliente lbp 1962 ... Suite problèmes financiers temporaires 2 chèques impayés lbp fermé compte prévenir ! ! ! ! Tous prélèvements été rejetés ! ! ! ! ! Etc .... Merci lbp considération clients fidèles ! ! ! ! ! !,Je cliente lbp 1962 Suite problèmes financiers temporaires j ' 2 chèques impayés lbp fermé compte prévenir . Tous prélèvements été rejetés .,Je cliente lbp 1962 . Merci lbp considération clients fidèles
55149,5,2.0,2022-02-07 14:21:02+00:00,2022-02-07,MaFrenchBank,"""Super communication. Très bonne communication  avec le personnel de Ma French Bank je suis contente qu'ils aient pu m'aider rapidement, merci !! :)""",,Super communication. Très bonne communication   avec le personnel de Ma French Bank je suis contente qu' ils aient pu m' aider rapidement merci,"""Super communication . Très bonne communication   personnel Ma French Bank contente aient aider rapidement , ! ! :)""",,Super communication . Très bonne communication    personnel Ma French Bank contente qu ' aient m ' aider rapidement
28296,1,2.0,2023-10-20 07:07:27+00:00,2023-10-16,Anytime,cette banque tue mon entreprise suite à…. cette banque tue mon entreprise suite à un disfonctionnements de mon compte il m'annonce qu'il vont clôturer mon compte sous 60 jour a compte du 08/08/2023 je ne conteste pas. je recoins un virement sur mon compte anytime j'effectue le virement sur mon nouveau compte lol il me le bloque pour document pas assez précis après 5 jours d'envoi de mail toujours aucune réactivité ni de virement alors que le document demander à été fournis le jour même cette banque est nul pour les professionnel,cette banque tue mon entreprise suite à. cette banque tue mon entreprise suite à un disfonctionnements de mon compte il m' annonce qu' il vont clôturer mon compte sous 60 jour a compte du 08/08/2023 je ne conteste pas. je recoins un virement sur mon compte anytime j' effectue le virement sur mon nouveau compte lol il me le bloque pour document pas assez précis après 5 jours d' envoi de mail toujours aucune réactivité ni de virement alors que le document demander à été fournis le jour même cette banque est nul pour les professionnel,,banque tue entreprise suite … . banque tue entreprise suite disfonctionnements compte annonce clôturer compte 60 jour compte 08/08/2023 conteste . recoins virement compte anytime effectue virement compte lol bloque document précis 5 jours envoi mail aucune réactivité virement document demander été fournis jour banque professionnel,banque tue entreprise suite . banque tue entreprise suite disfonctionnements compte m ' annonce qu ' clôturer compte 60 jour compte 08/08/2023 conteste . recoins virement compte anytime j ' effectue virement compte lol bloque document précis 5 jours d ' envoi mail aucune réactivité virement document demander été fournis jour banque professionnel,
50227,2,2.0,2021-10-16 21:44:03+00:00,2021-10-16,Oney,"""Fiche banque de France. Bonjour Moi , en téléphonant aujourd'hui  pour une raison .On m apprends que je suis fiche banque de France .La je rigole en disant c est quoi cette bêtiseOn me répond pas une bêtise vous êtes ficher depuis le 24 juin , aujourd'hui 16 octobre on me dit ça Alors que j ai un chéquier une CB visa et rien de ma banque .J aimerais comprendre d'ou sort cette belle absurte .""",Moi en téléphonant aujourd'hui   pour une raison .On. m apprends que je suis fiche banque de France .La je rigole en disant c est quoi cette bêtiseOn me répond pas une bêtise vous êtes ficher depuis le 24 juin aujourd'hui 16 octobre on me dit ça Alors que j ai un chéquier une CB visa et rien de ma banque .J aimerais comprendre d' ou sort cette belle absurte,Fiche banque de France,"""Fiche banque France . Bonjour Moi , téléphonant aujourd'hui   raison .On m apprends fiche banque France .La rigole disant c bêtiseOn répond bêtise êtes ficher 24 juin , aujourd'hui 16 octobre Alors j chéquier CB visa rien banque .J aimerais comprendre sort belle absurte .""",Moi téléphonant aujourd'hui    raison .On . m apprends fiche banque France .La rigole disant c bêtiseOn répond bêtise êtes ficher 24 juin aujourd'hui 16 octobre Alors j chéquier CB visa rien banque .J aimerais comprendre d ' sort belle absurte,Fiche banque France
80894,4,2.0,2023-07-14 12:48:46+00:00,2023-07-11,SOFINCO,Très bien. Sofinco j'avais besoin d'être et ils ont répondu favorablement et j'apprécie beaucoup,,Très bien. j' avais besoin d' être et ils ont répondu favorablement et j' apprécie beaucoup,Très bien . Sofinco besoin répondu favorablement apprécie beaucoup,,Très bien . j ' besoin d ' répondu favorablement j ' apprécie beaucoup
36420,5,2.0,2022-04-11 17:52:01+00:00,2022-04-11,Cofidis,Très satisfaite. na,,Très satisfaite,Très satisfaite .,,Très satisfaite
9650,4,1.0,2023-05-05 12:01:11+00:00,2023-05-05,Floabank,Échange très long mais qui aboutira à…. Échange très long mais qui aboutira à un résultat je l'espère.,Échange très long mais qui aboutira à,Échange très long mais qui aboutira à un résultat je l' espère,Échange long aboutira … . Échange long aboutira résultat espère .,Échange long aboutira,Échange long aboutira résultat l ' espère
49439,2,1.0,2022-12-01 12:57:58+00:00,2022-11-27,Oney,"""je sais pas quoi dire sur cette banque…. je sais pas quoi dire sur cette banque mais sa commencer chez moi même avant d'avoir un crédit , j'ai finalisé toute les procédures pour acheter un samsung , normalement je reçoie une avis dans 48h max d'après leurs email mais non sa fait 5 jours et toujours rien.""",je sais pas quoi dire sur cette banque. je sais pas quoi dire sur cette banque mais sa commencer chez moi même avant d' avoir un crédit j' ai finalisé toute les procédures pour acheter un samsung normalement je reçoie une avis dans 48h max d' après leurs email mais non sa fait 5 jours et toujours rien,,"""sais banque … . sais banque commencer crédit , finalisé procédures acheter samsung , normalement reçoie avis 48h max email non 5 jours rien .""",sais banque . sais banque commencer d ' crédit j ' finalisé procédures acheter samsung normalement reçoie avis 48h max d ' email non 5 jours rien,
101013,1,1.0,2021-08-11 10:08:00+00:00,2021-08-11,OrangeBank,Utilisation de mon compte Orange bank…. Utilisation de mon compte Orange bank toujours Impossible 6 jours après,Impossible 6 jours,Utilisation de mon compte Orange bank. Utilisation de mon compte Orange. bank toujours,Utilisation compte Orange bank … . Utilisation compte Orange bank Impossible 6 jours,Impossible 6 jours,Utilisation compte Orange bank . Utilisation compte Orange . bank
95126,4,5.0,2022-05-24 22:12:32+00:00,2022-05-24,OrangeBank,Bien. 🤩 bon rapport qualité prix,,🤩 bon rapport qualité,Bien . 🤩 bon rapport qualité prix,,🤩 bon rapport qualité
89741,5,1.0,2023-05-31 21:43:17+00:00,2023-04-27,OrangeBank,Réactive aux questions. na,,Réactive aux questions,Réactive questions .,,Réactive questions
67352,5,2.0,2021-07-28 09:24:07+00:00,2021-07-28,Vybe,C est canon. C est canon. Il réponde rapidement et c est super bien fait,,C est canon. C est canon. Il réponde rapidement et c est super bien fait,C canon . C canon . Il réponde rapidement c super bien,,C canon . C canon . Il réponde rapidement c super bien
46667,1,8.0,2020-12-09 15:41:10+00:00,2020-12-09,Cofidis,"""Je viens de finir un appel avec une…. Je viens de finir un appel avec une conseillère cofidis ,honteux de parler comme ça au gens je recommande pas cette organisme alors que jai toujours été client depuis plusieurs années sans soucis.""",Je viens de finir un appel avec une. Je viens de finir un appel avec une conseillère cofidis honteux de parler comme ça au gens je recommande pas cette organisme alors que jai toujours été client depuis plusieurs années sans soucis,,"""Je viens finir appel … . Je viens finir appel conseillère cofidis , honteux recommande organisme jai été client années soucis .""",Je viens finir appel . Je viens finir appel conseillère cofidis honteux recommande organisme jai été client années soucis,
100499,4,2.0,2021-11-25 17:01:46+00:00,2021-11-25,OrangeBank,Simple et efficace. na,,Simple et efficace,Simple efficace .,,Simple efficace
1659,1,2.0,2023-10-14 12:10:37+00:00,2023-10-14,MaBanqueBNPParibas,"""C'est du vol.. C'est du vol.Ils me retirent 32 euros chaques mois car ils estiment que je dépense trop alors que c'est mon argent !Ils refusent de me donner le détail des opérations et des factures qu'ils m'extorquent de force tous les mois !Je ne peux donc pas savoir à quoi ça sert.Lors d'un transfert sur mon compte aux USA, ils ont perdu l'argent et m'ont fait payer 150 euros pour la récupérer !Du flou, pas d'information, l'argent disparaît.Je change de banque sur le champs !""",C' est du vol. C' est du vol. Ils me retirent 32 euros chaques mois car ils estiment que je dépense trop alors que c' est mon argent. Ils refusent de me donner le détail des opérations et des factures qu' ils m' extorquent de force tous les mois. Je ne peux donc pas savoir à quoi ça sert. Lors d' un transfert sur mon compte aux USA ils ont perdu l' argent et m' ont fait payer 150 euros pour la récupérer. Du flou pas d' information l' argent disparaît. Je change de banque sur le champs,,"""C' vol .. C' vol . Ils retirent 32 euros chaques mois estiment dépense trop argent ! Ils refusent donner détail opérations factures extorquent force mois ! Je savoir sert . Lors transfert compte USA , perdu argent payer 150 euros récupérer ! Du flou , information , argent disparaît . Je change banque champs !""",C ' vol . C ' vol . Ils retirent 32 euros chaques mois estiment dépense trop c ' argent . Ils refusent donner détail opérations factures qu ' m ' extorquent force mois . Je savoir sert . Lors d ' transfert compte USA perdu l ' argent m ' payer 150 euros récupérer . Du flou d ' information l ' argent disparaît . Je change banque champs,
83511,5,1.0,2023-06-01 20:39:38+00:00,2023-06-01,BoursoramaBanque,super qualité. na,,super qualité,super qualité .,,super qualité
26361,5,1.0,2019-05-15 11:36:07+00:00,2019-05-15,Anytime,Enfin un service moderne bancaire. Enfin un service moderne bancaire ! Très bon service de Anyti.me et surtout : une suivie clientèle exemplaire !!! Vous avez une question.... ils vous répondent en ligne dans les minutes qui suivent et si nécessaire trouverons une solution.Le service comme Anyti.me (et autres) c'est le futur.Continuez ainsi !,Vous avez une question. Continuez ainsi,Enfin un service moderne bancaire. Enfin un service moderne bancaire. Très bon service de Anyti.me. et surtout une suivie clientèle exemplaire. ils vous répondent en ligne dans les minutes qui suivent et si nécessaire trouverons une solution. Le service comme Anyti.me et autres c' est le futur,Enfin service moderne bancaire . Enfin service moderne bancaire ! Très bon service Anyti.me : suivie clientèle exemplaire ! ! ! Vous avez question .... répondent ligne minutes suivent nécessaire trouverons solution . Le service Anyti.me ( ) futur . Continuez !,Vous avez question . Continuez,Enfin service moderne bancaire . Enfin service moderne bancaire . Très bon service Anyti.me . suivie clientèle exemplaire . répondent ligne minutes suivent nécessaire trouverons solution . Le service Anyti.me c ' futur
48033,4,1.0,2023-10-19 15:05:22+00:00,2023-10-11,Cofidis,Pas réellement répondu à mes attentes. On a refusé ma première demande donc j'ai pris celle qu'ils m'ont proposé pour ensuite me dire que j'aurais pu demander plus,Pas réellement répondu à mes attentes. On a refusé ma première demande donc j' ai pris celle qu' ils m' ont proposé pour ensuite me dire que j' aurais pu demander plus,,Pas réellement répondu attentes . On refusé demande pris proposé ensuite aurais demander,Pas réellement répondu attentes . On refusé demande j ' pris qu ' m ' proposé ensuite j ' aurais demander,
42835,5,1.0,2021-06-08 14:59:58+00:00,2021-06-08,Cofidis,Réactivité. Réactivité Professionnel Juste merci,Réactivité Professionnel,Juste merci,Réactivité . Réactivité Professionnel Juste,Réactivité Professionnel,Juste
102426,5,2.0,2023-10-10 16:58:05+00:00,2023-10-10,OrangeBank,"""Les réponses. Les réponses, même si elles ne sont pas satisfaisantes, ont été données de façon pertinente et efficace""",Les réponses,Les réponses même si elles ne sont pas satisfaisantes ont été données de façon pertinente et efficace,"""Les réponses . Les réponses , satisfaisantes , été données pertinente efficace""",Les réponses,Les réponses satisfaisantes été données pertinente efficace
79553,1,2.0,2021-11-09 21:49:43+00:00,2021-11-09,LCL,"""Déposé un chèque salaire signé et daté…. Déposé un chèque salaire signé et daté jeudi 04/11 soir dans une borne automate à la lcl 5avenue, Marseille, aujourd'hui le 09/11 soir pas encore reçu un centime sur mon compte au contraire je suis en négatif. C est le moment de changer de banque.""",Déposé un chèque salaire signé et daté jeudi 04/11 soir dans une borne automate à la lcl 5avenue Marseille aujourd'hui le 09/11 soir pas encore reçu un centime sur mon compte au contraire je suis en négatif,Déposé un chèque salaire signé et daté. C est le moment de changer de banque,"""Déposé chèque salaire signé daté … . Déposé chèque salaire signé daté jeudi 04/11 soir borne automate lcl 5avenue , Marseille , aujourd'hui 09/11 soir reçu centime compte contraire négatif . C moment changer banque .""",Déposé chèque salaire signé daté jeudi 04/11 soir borne automate lcl 5avenue Marseille aujourd'hui 09/11 soir reçu centime compte contraire négatif,Déposé chèque salaire signé daté . C moment changer banque
37129,5,1.0,2022-02-16 10:29:43+00:00,2022-02-16,Cofidis,"""Simple. Simple, rapide, efficace !""",,Simple rapide efficace,"""Simple . Simple , rapide , efficace !""",,Simple rapide efficace
39228,5,1.0,2021-11-09 17:14:46+00:00,2021-11-09,Cofidis,Organisme très compétent très…. Organisme très compétent très accueillant beaucoup de qualités chez leurs collaborateurs,,Organisme très compétent très. Organisme très compétent très accueillant beaucoup de qualités chez leurs collaborateurs,Organisme compétent … . Organisme compétent accueillant beaucoup qualités collaborateurs,,Organisme compétent . Organisme compétent accueillant beaucoup qualités collaborateurs
97356,4,7.0,2022-04-04 09:46:47+00:00,2022-04-04,OrangeBank,Très bon accueil et de très bons…. Très bon accueil et de très bons conseils pour,,Très bon accueil et de très bons. Très bon accueil et de très bons conseils,Très bon accueil bons … . Très bon accueil bons conseils,,Très bon accueil bons . Très bon accueil bons conseils
97324,5,3.0,2022-04-04 14:55:37+00:00,2022-04-04,OrangeBank,Rapide efficace. na,,Rapide efficace,Rapide efficace .,,Rapide efficace
49147,1,6.0,2023-04-26 10:46:26+00:00,2023-04-20,Oney,"""Organisme de crédit qui vous refuse le…. Organisme de crédit qui vous refuse le paiement en 3fois pour un montant d’environ 600 euros alors que vous êtes solvable et créditeur sur votre compte, donc très embêtant et énervant.En plus quand on les contacte, pas de réponse pour résoudre le problème.Mon avis : déplorable""",Organisme de crédit qui vous refuse le. Organisme de crédit qui vous refuse le paiement en 3fois pour un montant d’ environ 600 euros alors que vous êtes solvable et créditeur sur votre compte donc très embêtant et énervant. En plus quand on les contacte pas de réponse pour résoudre le problème. Mon avis déplorable,,"""Organisme crédit refuse … . Organisme crédit refuse paiement 3fois montant 600 euros êtes solvable créditeur compte , embêtant énervant . En contacte , réponse résoudre problème . Mon avis : déplorable""",Organisme crédit refuse . Organisme crédit refuse paiement 3fois montant d ’ 600 euros êtes solvable créditeur compte embêtant énervant . En contacte réponse résoudre problème . Mon avis déplorable,
99168,3,10.0,2022-03-07 17:44:57+00:00,2022-03-07,OrangeBank,Bank. Pas top je ne recommanderais pas,Pas top je ne recommanderais pas,,Bank . Pas top recommanderais,Pas top recommanderais,
29855,5,11.0,2023-09-12 20:01:53+00:00,2023-07-19,Cofidis,Les interlocuteurs de Cofidis sont…. Les interlocuteurs de Cofidis sont affables et compétents pour traiter les différentes situations qui leur sont soumises. Bien Cordialement. Jean-Marie CARTIER,Les interlocuteurs de Cofidis sont. Jean-Marie CARTIER,Les interlocuteurs de Cofidis sont affables et compétents pour traiter les différentes situations qui leur sont soumises. Bien Cordialement,Les interlocuteurs Cofidis … . Les interlocuteurs Cofidis affables compétents traiter situations soumises . Bien Cordialement . Jean-Marie CARTIER,Les interlocuteurs Cofidis . Jean-Marie CARTIER,Les interlocuteurs Cofidis affables compétents traiter situations soumises . Bien Cordialement
29416,5,1.0,2023-09-19 04:44:26+00:00,2023-08-31,Cofidis,"""Déroulement facile. Déroulement facile, argent débloquer rapidement, clair net et précis""",,Déroulement facile. Déroulement facile argent débloquer rapidement clair net et précis,"""Déroulement facile . Déroulement facile , argent débloquer rapidement , clair net précis""",,Déroulement facile . Déroulement facile argent débloquer rapidement clair net précis
